,School Name,% Grads,tier,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black or African American Students [Public School] 2015-16,White Students [Public School] 2015-16,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16
0,ORCHARD COLLEGIATE ACADEMY,93.548386,High,,,,,,,,
2,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,96.875,High,1.0,95.0,140.0,92.0,11.0,,2.0,341.0
4,EAST SIDE COMMUNITY SCHOOL,96.62921,High,9.0,73.0,362.0,140.0,79.0,,16.0,679.0
6,FORSYTH SATELLITE ACADEMY,37.313435,Med/Low,,,,,,,,
8,MARTA VALLE HIGH SCHOOL,72.0,Med/High,1.0,10.0,148.0,115.0,5.0,,0.0,279.0
10,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,41.90141,Medium,2.0,288.0,131.0,55.0,7.0,,4.0,487.0
12,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",95.56962,High,,,,,,,,
14,CASCADES HIGH SCHOOL,35.353535,Med/Low,2.0,10.0,121.0,73.0,14.0,,0.0,220.0
16,BARD HIGH SCHOOL EARLY COLLEGE,99.18699,High,1.0,122.0,88.0,86.0,228.0,,10.0,535.0
18,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,100.0,High,,,,,,,,
20,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,93.548386,High,,,,,,,,
22,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,84.53608,High,,,,,,,,
24,THE CLINTON SCHOOL,96.938774,High,,,,,,,,
26,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,86.51685,High,2.0,19.0,82.0,60.0,21.0,,6.0,190.0
28,URBAN ASSEMBLY MAKER ACADEMY,89.13043,High,1.0,19.0,101.0,49.0,19.0,,10.0,199.0
30,FOOD AND FINANCE HIGH SCHOOL,84.09091,High,2.0,19.0,218.0,168.0,9.0,,0.0,416.0
32,ESSEX STREET ACADEMY,97.01492,High,5.0,20.0,153.0,135.0,28.0,,14.0,355.0
34,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,75.29412,Med/High,3.0,16.0,276.0,97.0,9.0,,6.0,407.0
36,PACE HIGH SCHOOL,90.07633,High,12.0,47.0,244.0,154.0,6.0,,15.0,478.0
38,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,",69.565216,Med/High,,,,,,,,
40,"FACING HISTORY SCHOOL, THE",83.333336,High,,,,,,,,
42,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",89.0625,High,,,,,,,,
44,LOWER MANHATTAN ARTS ACADEMY,85.71429,High,2.0,34.0,199.0,96.0,10.0,,16.0,357.0
46,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION",24.096386,Med/Low,,,,,,,,
